"id","day","wd","minute10","W"
1219,9,4,67,327
1220,9,4,68,346.5
1221,9,4,69,336.5
1222,9,4,70,343.5
1223,9,4,71,345.5
1224,9,4,72,332
1225,9,4,73,345
1226,9,4,74,368
1227,9,4,75,347
1228,9,4,76,369
1229,9,4,77,344
1230,9,4,78,344.5
1231,9,4,79,335.5
1232,9,4,80,368.5
1233,9,4,81,376
1234,9,4,82,380.5
1235,9,4,83,387.5
1236,9,4,84,376
1237,9,4,85,349
1238,9,4,86,352
1239,9,4,87,358
1240,9,4,88,350.5
1241,9,4,89,371.5
1242,9,4,90,363.5
1243,9,4,91,371
